employee_id,medical_plan,dependents,dental_plan,vision_plan,monthly_benefit_cost
100762,Silver,2,Yes,Yes,220
100763,Silver,0,Yes,Yes,220
100764,Silver,0,Yes,Yes,220
100765,Silver,2,Yes,Yes,220
100766,Silver,1,Yes,No,220
100767,Silver,2,Yes,No,220
100768,Silver,3,Yes,No,220
100769,Silver,3,Yes,Yes,220
100770,Silver,3,Yes,Yes,220
100771,Bronze,2,Yes,Yes,100
100772,Silver,2,Yes,Yes,220
100773,Silver,2,Yes,Yes,220
100774,Gold,3,Yes,Yes,400
100775,Bronze,1,Yes,Yes,100
100776,Bronze,2,Yes,Yes,100
100777,Gold,2,Yes,Yes,400
100778,Gold,3,Yes,No,400
100779,Bronze,1,Yes,No,100
100780,Bronze,3,Yes,No,100
100781,Silver,0,No,No,220
100782,Bronze,3,Yes,No,100
100783,Bronze,3,No,Yes,100
100784,Silver,0,Yes,No,220
100785,Gold,2,Yes,Yes,400
100786,Silver,0,No,Yes,220
100787,Silver,0,No,Yes,220
100788,Bronze,3,No,No,100
100789,Silver,3,Yes,Yes,220
100790,Bronze,0,Yes,No,100
100791,Silver,2,Yes,No,220
100792,Silver,2,Yes,Yes,220
100793,Gold,3,Yes,Yes,400
100794,Bronze,1,Yes,No,100
100795,Silver,3,Yes,Yes,220
100796,Silver,0,Yes,Yes,220
100797,Bronze,3,Yes,No,100
100798,Gold,2,Yes,Yes,400
100799,Silver,1,Yes,Yes,220
100800,Gold,2,No,Yes,400
100801,Silver,1,Yes,Yes,220
100802,Silver,3,Yes,Yes,220
100803,Gold,2,Yes,No,400
100804,Silver,0,No,No,220
100805,Bronze,3,Yes,No,100
100806,Gold,1,Yes,Yes,400
100807,Bronze,1,Yes,Yes,100
100808,Gold,2,Yes,Yes,400
100809,Silver,3,Yes,No,220
100810,Bronze,2,No,No,100
100811,Bronze,1,Yes,No,100
100812,Silver,1,Yes,Yes,220
100813,Gold,1,Yes,No,400
100814,Bronze,0,Yes,Yes,100
100815,Silver,1,Yes,Yes,220
100816,Bronze,1,No,Yes,100
100817,Bronze,1,Yes,Yes,100
100818,Bronze,1,Yes,Yes,100
100819,Silver,1,Yes,Yes,220
100820,Gold,1,Yes,Yes,400
100821,Silver,3,Yes,Yes,220
100822,Gold,1,Yes,No,400
100823,Bronze,2,Yes,Yes,100
100824,Silver,3,Yes,No,220
100825,Silver,0,No,No,220
100826,Gold,3,Yes,No,400
100827,Gold,2,No,No,400
100828,Silver,2,Yes,Yes,220
100829,Silver,0,Yes,No,220
100830,Bronze,1,Yes,Yes,100
100831,Bronze,1,No,Yes,100
100832,Silver,2,Yes,Yes,220
100833,Silver,2,No,Yes,220
100834,Silver,1,Yes,Yes,220
100835,Silver,2,Yes,No,220
100836,Silver,3,Yes,Yes,220
100837,Bronze,1,Yes,Yes,100
100838,Silver,2,Yes,Yes,220
100839,Bronze,3,Yes,Yes,100
100840,Bronze,3,No,Yes,100
100841,Bronze,1,Yes,No,100
100842,Silver,0,Yes,Yes,220
100843,Gold,3,Yes,No,400
100844,Bronze,3,Yes,No,100
100845,Bronze,1,Yes,Yes,100
100846,Silver,1,Yes,No,220
100847,Silver,1,Yes,Yes,220
100848,Silver,0,Yes,Yes,220
100849,Gold,3,Yes,No,400
100850,Silver,2,Yes,No,220
100851,Gold,2,Yes,No,400
100852,Gold,3,Yes,Yes,400
100853,Silver,1,Yes,Yes,220
100854,Silver,3,Yes,Yes,220
100855,Silver,3,Yes,Yes,220
100856,Silver,1,Yes,Yes,220
100857,Silver,1,Yes,Yes,220
100858,Silver,0,Yes,No,220
100859,Silver,0,No,Yes,220
100860,Bronze,0,Yes,No,100
100861,Bronze,1,Yes,No,100
100862,Silver,0,Yes,Yes,220
100863,Silver,2,Yes,Yes,220
100864,Silver,0,Yes,Yes,220
100865,Silver,3,Yes,Yes,220
100866,Silver,1,No,No,220
100867,Silver,0,No,Yes,220
100868,Bronze,3,Yes,Yes,100
100869,Gold,1,Yes,Yes,400
100870,Gold,0,Yes,Yes,400
100871,Bronze,0,Yes,Yes,100
100872,Silver,1,Yes,Yes,220
100873,Silver,2,Yes,Yes,220
100874,Silver,3,Yes,Yes,220
100875,Bronze,2,Yes,Yes,100
100876,Bronze,0,Yes,Yes,100
100877,Bronze,0,No,No,100
100878,Silver,1,Yes,Yes,220
100879,Gold,3,Yes,Yes,400
100880,Silver,2,Yes,No,220
100881,Bronze,3,No,Yes,100
100882,Bronze,0,Yes,Yes,100
100883,Bronze,3,Yes,No,100
100884,Silver,0,Yes,No,220
100885,Gold,0,Yes,Yes,400
100886,Bronze,2,Yes,Yes,100
100887,Silver,2,Yes,Yes,220
100888,Bronze,3,Yes,Yes,100
100889,Silver,1,Yes,No,220
100890,Silver,0,Yes,Yes,220
100891,Silver,1,Yes,Yes,220
100892,Silver,0,Yes,Yes,220
100893,Silver,0,No,Yes,220
100894,Silver,0,Yes,Yes,220
100895,Silver,3,No,No,220
100896,Silver,0,Yes,No,220
100897,Silver,2,No,Yes,220
100898,Silver,0,Yes,Yes,220
100899,Bronze,2,Yes,Yes,100
100900,Bronze,1,Yes,No,100
100901,Bronze,3,No,Yes,100
100902,Bronze,2,Yes,Yes,100
100903,Silver,0,Yes,Yes,220
100904,Bronze,3,No,Yes,100
100905,Bronze,0,Yes,No,100
100906,Bronze,1,Yes,Yes,100
100907,Silver,3,Yes,Yes,220
100908,Gold,1,Yes,Yes,400
100909,Silver,1,Yes,Yes,220
100910,Bronze,0,Yes,Yes,100
100911,Gold,3,Yes,No,400
100912,Silver,3,Yes,Yes,220
100913,Bronze,1,Yes,No,100
100914,Gold,3,Yes,Yes,400
100915,Silver,0,Yes,Yes,220
100916,Bronze,2,Yes,Yes,100
100917,Bronze,1,Yes,Yes,100
100918,Bronze,1,Yes,No,100
100919,Silver,1,Yes,Yes,220
100920,Bronze,2,Yes,No,100
100921,Bronze,2,Yes,No,100
100922,Bronze,3,Yes,Yes,100
100923,Bronze,1,Yes,Yes,100
100924,Bronze,0,No,Yes,100
100925,Gold,2,Yes,No,400
100926,Silver,3,Yes,Yes,220
100927,Silver,2,Yes,Yes,220
100928,Silver,1,Yes,No,220
100929,Gold,2,Yes,No,400
100930,Gold,3,Yes,Yes,400
100931,Bronze,0,Yes,Yes,100
100932,Bronze,0,Yes,Yes,100
100933,Silver,2,No,No,220
100934,Silver,3,Yes,No,220
100935,Silver,0,Yes,Yes,220
100936,Bronze,1,No,Yes,100
100937,Silver,0,Yes,Yes,220
100938,Silver,2,Yes,No,220
100939,Gold,2,Yes,No,400
100940,Silver,1,No,Yes,220
100941,Bronze,1,Yes,Yes,100
100942,Silver,3,Yes,No,220
100943,Silver,2,No,No,220
100944,Silver,3,No,Yes,220
100945,Bronze,3,Yes,No,100
100946,Bronze,0,Yes,Yes,100
100947,Gold,1,Yes,Yes,400
100948,Bronze,3,No,Yes,100
100949,Silver,3,Yes,Yes,220
100950,Silver,3,No,No,220
100951,Silver,1,No,Yes,220
100952,Bronze,1,Yes,Yes,100
100953,Gold,2,Yes,Yes,400
100954,Bronze,3,Yes,Yes,100
100955,Bronze,3,Yes,Yes,100
100956,Bronze,0,No,Yes,100
100957,Silver,2,No,No,220
100958,Silver,0,Yes,Yes,220
100959,Silver,0,Yes,No,220
100960,Silver,0,Yes,Yes,220
100961,Silver,1,Yes,No,220
100962,Bronze,2,Yes,Yes,100
100963,Gold,1,Yes,Yes,400
100964,Gold,1,Yes,Yes,400
100965,Bronze,3,Yes,No,100
100966,Gold,1,No,No,400
100967,Silver,1,Yes,Yes,220
100968,Gold,3,Yes,Yes,400
100969,Silver,3,Yes,Yes,220
100970,Silver,2,Yes,Yes,220
100971,Silver,1,Yes,Yes,220
100972,Gold,2,Yes,Yes,400
100973,Silver,0,Yes,Yes,220
100974,Silver,1,Yes,Yes,220
100975,Bronze,1,Yes,Yes,100
100976,Bronze,1,Yes,Yes,100
100977,Silver,2,Yes,Yes,220
100978,Gold,3,Yes,Yes,400
100979,Silver,3,Yes,Yes,220
100980,Silver,0,Yes,Yes,220
100981,Bronze,2,Yes,Yes,100
100982,Bronze,0,Yes,No,100
100983,Bronze,0,Yes,Yes,100
100984,Silver,1,Yes,Yes,220
100985,Bronze,1,Yes,Yes,100
100986,Bronze,2,Yes,Yes,100
100987,Silver,2,Yes,Yes,220
100988,Silver,1,Yes,No,220
100989,Gold,0,No,Yes,400
100990,Silver,0,Yes,No,220
100991,Bronze,3,Yes,Yes,100
100992,Bronze,1,Yes,Yes,100
100993,Bronze,0,Yes,Yes,100
100994,Silver,3,Yes,Yes,220
100995,Bronze,3,Yes,No,100
100996,Silver,2,No,Yes,220
100997,Silver,1,Yes,Yes,220
100998,Silver,0,Yes,No,220
100999,Silver,3,Yes,No,220
